     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    209920,        97,         0,    4.26,chromobius,ead362d2e561f309859baf28e940191a512d296dfeaf9fa95a8acab020214138,"{""d"":7,""p"":0.00016102620275609394,""r"":28}",
    223232,       151,         0,    4.25,chromobius,4379df360ef72cd398a33dfd12c2aa2910be0cc966516b227a32b869053e1f71,"{""d"":7,""p"":0.00018873918221350977,""r"":28}",
    210944,       210,         0,    4.26,chromobius,4c19e83f76f32eec0db52a2822374ef7f4dc006a26cea33b54a6950661613d2a,"{""d"":7,""p"":0.000221221629107045,""r"":28}",
    178176,       281,         0,    4.27,chromobius,9d5ae15aed89a7201e4b85a900d908f1f0e4101735835a12ca6ed03d8fc1a459,"{""d"":7,""p"":0.0002592943797404667,""r"":28}",
     18432,       161,         0,    1.15,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
    109568,       242,         0,    4.29,chromobius,b6e2d8cbb246ade578edc36bec96423bc615910a1b46a4125ee149c8d12fdcea,"{""d"":7,""p"":0.0003039195382313198,""r"":28}",
     26624,       215,         0,    1.56,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
     72704,       368,         0,    3.09,chromobius,9cb6fe268404e3b83e6891e273365c82e0e7f6f9a5c76e2e1fc224ede16edc52,"{""d"":7,""p"":0.00041753189365604,""r"":28}",
     99328,       316,         0,    4.29,chromobius,fdcdaa8a6d0e4f8443a122a24813993d8a0ccab1310d147fd7989333c6afb0ba,"{""d"":7,""p"":0.0003562247890262444,""r"":28}",
    551936,       108,         0,    5.93,chromobius,c231a2c617033823668e2229d87e3313af9499a902dd252c02b0c6c5a73551b9,"{""d"":7,""p"":0.0001,""r"":28}",
    446464,       128,         0,    5.94,chromobius,e237c3fe94c11a918b39f51cae3a6e363feef7644e7f0baa16aca32c95b765b6,"{""d"":7,""p"":0.00011721022975334806,""r"":28}",
   1277952,       707,         0,    4.99,chromobius,c59e09c509753ccabd247ebc6b5b168f1ba6a32a8ae9bd481dc2a3a04b740003,"{""d"":5,""p"":0.0001,""r"":20}",
    429056,       143,         0,    5.93,chromobius,4a36b7e21a3f27d16a040063e2c5deb44e611e0ee373e0558f774b06c456436f,"{""d"":7,""p"":0.00013738237958832623,""r"":28}",
       273,         5,         0,   0.018,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
      1024,         9,         0,   0.086,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
     44032,       341,         0,    2.21,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
      1024,        14,         0,   0.066,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
      1024,        13,         0,   0.065,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
      1024,        13,         0,   0.091,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
      1024,        11,         0,   0.069,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
      2048,        19,         0,   0.121,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
      2048,        31,         0,   0.121,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
      3072,        42,         0,   0.177,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
      4096,        56,         0,   0.250,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
    319488,       169,         0,    5.95,chromobius,ead362d2e561f309859baf28e940191a512d296dfeaf9fa95a8acab020214138,"{""d"":7,""p"":0.00016102620275609394,""r"":28}",
